352,1,39.16,1
353,52,25.07,1
354,28,63.73,1
355,13,102.87,1
356,103,82.11,2
357,78,23.35,2
358,240,30.05,2
359,6,49.2,1
360,51,24.25,1
361,14,37.55,1
362,222,108.85,1
363,102,73.99,1
364,3,28.02,1
365,26,22.91,1
366,137,27.36,1
367,56,27.22,1
368,246,92.94,1
369,57,30.95,1
370,54,62.43,1
371,1302,35.71,1
372,39,61.53,1
373,109,27.18,1
374,6,18,1
375,1477,24.87,1
376,2,62.85,1
377,8,56.52,1
378,26,52.45,1
379,23,67,1
380,40,28.48,1
381,90,54.33,1
382,1,35.65,1
383,15,21.35,1
384,1301,32.84,1
385,14,19.28,1
386,11,55.5,2
387,13,73.48,2
388,41,75.06,1
389,1,83.46,1
390,42,89.06,1
391,32,25.08,1
392,7,26.41,1
393,15,54.79,1
394,55,42.72,1
395,3,45.2,1
396,21,44.24,1
397,3,41.7,1
398,13,46.21,2
399,9,64.99,1
400,4,97.07,1
401,119,27.5,1
402,1,54.64,1
403,7,44.2,2
404,278,16.61,1
405,28,46.42,2
406,6,25.44,1
407,39,17.31,1
408,24,22.9,1
409,22,46.93,1
410,37,38.9,1
411,2,152.65,1
412,6,36.42,2
413,7,25.95,1
414,504,53.81,1
415,130,30,1
416,44,24.89,1
417,63,45.22,1
418,1,22.92,1
419,332,11.43,1
420,6,16.81,1
421,1,68.19,2
422,26,59.5,2
423,62,28.4,1
424,2,18.26,1
425,21,28.9,1
426,1007,25.9,1
427,49,30,1
428,103,29.85,1
429,28,21.71,1
430,15,69.7,1
431,4,60.28,1
432,11,75.3,2
433,23,26.09,1
434,26,64.96,2
435,514,17.6,1
436,3,119.9,1
437,40,36.24,1
438,5,25.35,1
439,7,99.22,1
440,11,28,1
441,30,27.45,1
442,2,245.13,1
443,5,56.04,1
444,3,50.05,1
445,44,20.5,1
446,2,25.4,3
447,1,130.2,1
448,64,17.14,1
449,319,56.19,1
450,8,50.04,1
451,190,37.71,1
452,6,119.4,1
453,11,67.58,1
454,525,46.78,1
455,2,19.15,1
456,18,23.69,1
457,487,17.34,1
458,1,56.2,1
459,338,59.6,1
460,74,44.71,2
461,16,62.38,2
462,115,49.61,2
463,2,55.76,2
464,8,80.48,1
465,15,26.52,1
466,520,29.33,1
467,29,45.08,1
468,2,72.72,2
469,20,35.18,1
470,33,25.61,1
471,41,32,1
472,10,69.45,2
473,24,78.84,2
474,72,37.09,1
475,8,65.39,1
476,138,47.48,1
477,12,26.1,1
478,7,40.92,1
479,28,26,1
480,12,67,2
481,1,56.5,2
482,24,38.5,1
483,7,42.7,1
484,29,16.7,1
485,458,0.4,3
486,1,59.66,1
487,17,21.2,1
488,25,43.36,2
489,4,56.81,1
490,10,43.33,1
491,8,32.8,2
492,120,15.42,1
493,29,24.64,1
494,203,28.5,1
495,25,66.45,1
496,13,59.9,1
497,23,54.99,2
498,187,18.04,1
499,5,28.56,1
500,1117,23.66,1
501,2,121.56,2
502,4,30.72,1
503,77,32.97,1
504,120,28.61,2
505,43,30.74,1
506,6,30.59,1
507,41,33.5,1
508,12,30.52,1
509,21,51.85,1
510,35,63.2,2
511,15,23.08,1
512,2,86.49,1
513,48,36.44,1
514,122,28.96,2
515,1178,26.42,1
516,130,49.06,2
517,3,100.11,1
