CHATEAURENARD,13160
CAEN,14000
MERVILLE FRANCEVILLE,14810
GRANDCAMP-MAISY,14450
LISIEUX,14100
HONFLEUR,14600
TROUVILLE-SUR-MER,14360
DIVES-SUR-MER,14160
VILLERS-SUR-MER,14640
DEAUVILLE,14800
HOULGATE,14510
PONT-L EVEQUE,14130
BLONVILLE-SUR-MER,14910
TOURGEVILLE,14800
TOUQUES,14800
BENERVILLE-SUR-MER,14910
DOZULE,14430
EQUEMAUVILLE,14600
SAINT-ARNOULT,14800
RIVIERE-SAINT-SAUVEUR (LA),14600
ANGOULEME,16000
RUELLE-SUR-TOUVRE,16600
SOYAUX,16800
BARBEZIEUX SAINT HILAIRE,16300
L'ISLE D'ESPAGNAC,16340
GOND PONTOUVRE,16160
SAINT-MICHEL,16470
SAINT-XANDRE,17138
LA ROCHELLE,17000
LAGORD,17140
PERIGNY 17EME,17180
CHATELAILLON-PLAGE,17340
AYTRE,17440
CLAVETTE,17220
LOIX,17111
SAINT-MARTIN-DE-RE,17410
COURCON,17170
LES PORTES-EN-RE,17880
PUILBOREAU,17138
DOMPIERRE-SUR-MER,17139
MARANS,17230
ARS-EN-RE,17590
ANGOULINS,17690
ROCHEFORT,17300
TONNAY CHARENTE,17430
FOURAS,17450
SAINTES,17100
SAUJON,17600
SAINT-GEORGES-DE-DIDONNE,17110
MESCHERS-SUR-GIRONDE,17132
BARZAN,17120
ST JEAN D'ANGELY,17400
VIERZON,18100
BOURGES,18000
SAINT-FLORENT-SUR-CHER,18400
MEHUN-SUR-YEVRE,18500
MORTHOMIERS,18570
ALLOUIS,18500
SAINT-AMAND-MONTROND,18200
AUBIGNY-SUR-NERE,18700
TREIGNAC,19260
TULLE,19000
USSEL,19200
BRIVE LA GAILLARDE,19100
USSAC,19270
SAINT-SORNIN-LAVOLPS,19230
MALEMORT,19360
SAINTE FEREOLE,19270
DIJON,21000
SAINT-BRIEUC,22000
ERQUY,22430
LAMBALLE-ARMOR,22400
CHATELAUDREN-PLOUAGAT,22170
LANGUEUX,22360
PLOUFRAGAN,22440
PLOUHA,22580
PAIMPOL,22500
PLENEUF-VAL-ANDRE,22370
SAINT-QUAY-PORTRIEUX,22410
PLERIN,22190
BINIC-ETABLES-SUR-MER,22680
HILLION,22120
TREGUEUX,22950
NOYAL,22400
BEAUSSAIS-SUR-MER,22650
DINAN,22100
SAINT-CAST-LE-GUILDO,22380
FREHEL,22240
TADEN,22100
LANCIEUX,22770
PLANCOET,22130
CAULNES,22350
LANVALLAY,22100
MATIGNON,22550
BROONS,22250
GUINGAMP,22200
PLOUMAGOAR,22970
PERROS-GUIREC,22700
LANNION,22300
TREGUIER,22220
TREVOU-TREGUIGNEC,22660
TREBEURDEN,22560
PLESTIN-LES-GREVES,22310
LOUDEAC,22600
LA SOUTERRAINE,23300
GUERET,23000
PERIGUEUX,24000
TRELISSAC,24750
BOULAZAC ISLE MANOIRE,24750
COULOUNIEIX-CHAMIERS,24660
BERGERAC,24100
PORT-SAINTE-FOY-ET-PONCHAPT,33220
VAL DE LOUYRE ET CAUDEAU,24510
LAMOTHE-MONTRAVEL,24230
TERRASSON LAVILLEDIEU,24120
SARLAT-LA-CANEDA,24200
ROUFFIGNAC-ST-CERNIN-DE-REILHA,24580
CASTELNAUD-LA-CHAPELLE,24250
BESANCON,25000
GENEUILLE,25870
SAINT VIT,25410
BOUSSIERES,25320
MAMIROLLE,25620
ROCHE LEZ BEAUPRE,25220
MISEREY SALINES,25480
BONNAY,25870
DELUZ,25960
LES AUXONS,25870
BAUME LES DAMES,25110
PONTARLIER,25300
GRANGES NARBOZ,25300
JOUGNE,25370
VILLERS LE LAC,25130
MORTEAU,25500
LES HOPITAUX NEUFS,25370
ROCHEJEAN,25370
ORNANS,25290
DOUBS,25300
VALDAHON,25800
LA CLUSE ET MIJOUX,25300
METABIEF,25370
ETALANS,25580
MONTLEBON,25500
MOUTHE,25240
LES FOURGS,25300
CHARQUEMONT,25140
AUDINCOURT,25400
SELONCOURT,25230
HERIMONCOURT,25310
MONTBELIARD,25200
ROMANS-SUR-ISERE,26100
VALENCE,26000
MORAS-EN-VALLOIRE,26210
MONTELIMAR,26200
BOURG-DE-PEAGE,26300
MONTBOUCHER-SUR-JABRON,26740
BOURG LES VALENCE,26500
CHABEUIL,26120
CREST,26400
DONZERE,26290
SAINT-RAMBERT-D ALBON,26140
DIEULEFIT,26220
TULETTE,26790
BEAUVALLON,26800
MIRABEL-AUX-BARONNIES,26110
LORIOL SUR DROME,26270
PIERRELATTE,26700
SAINT-PAUL-TROIS-CHATEAUX,26130
MONTELIER,26120
LIVRON SUR DROME,26250
PORTES LES VALENCE,26800
NYONS,26110
SAUZET,26740
SAINT-DONAT-SUR-L HERBASSE,26260
ANCONE,26200
SAINT-PANTALEON-LES-VIGNES,26770
SAINT-AGNAN-EN-VERCORS,26420
LA ROCHE DE GLUN,26600
MOURS-SAINT-EUSEBE,26540
SAINT VALLIER 26EME,26240
PONT DE L ISERE,26600
MERCUROL-VEAUNES,26600
TAIN L HERMITAGE,26600
BEAUMONT LES VALENCE,26760
MONTSEGUR-SUR-LAUZON,26130
PONSAS,26240
GRAVIGNY,27930
RUGLES,27250
EZY SUR EURE,27530
EVREUX,27000
PACY-SUR-EURE,27120
BUEIL,27730
VERNON,27200
ST MARCEL,27950
CONCHES EN OUCHE,27190
VERNEUIL D'AVRE ET D'ITON,27130
GISORS,27140
LES ANDELYS,27700
LA TRINITE DE REVILLE,27270
BEAUMONT LE ROGER,27170
BERNAY,27300
GAILLON,27600
CHARTRES,28000
GALLARDON,28320
LE COUDRAY,28630
EPERNON,28230
MAINVILLIERS,28300
TOURY,28310
HANCHES,28130
LEVES,28300
GASVILLE OISEME,28300
MAINTENON,28130
LUCE,28110
CHARTAINVILLIERS,28130
ST PREST,28300
GAS,28320
AUNEAU-BLEURY-SAINT-SYMPHORIEN,28700
LUISANT,28600
JOUY,28300
COURVILLE SUR EURE,28190
CHATEAUDUN,28200
ST DENIS-LANNERAY,28200
DREUX,28100
VERNOUILLET 28EME,28500
LORMAYE,28210
NOGENT-LE-ROI,28210
ANET,28260
CHAUDON,28210
ST LUBIN DES JONCHERETS,28350
CHATEAUNEUF EN THYMERAIS,28170
ST REMY SUR AVRE,28380
COULOMBS,28210
NOGENT LE ROTROU,28400
QUIMPER,29000
DOUARNENEZ,29100
QUIMPERLE,29300
CONCARNEAU,29900
PONT-AVEN,29930
CLOHARS CARNOET,29360
BREST,29200
SAINT RENAN,29290
DIRINON,29460
LANDERNEAU,29800
PLOUGASTEL-DAOULAS,29470
CAMARET-SUR-MER,29570
CROZON,29160
SAINT-NIC,29550
MORLAIX,29600
LANDIVISIAU,29400
CARANTEC,29660
SAINT-MARTIN-DES-CHAMPS 29EME,29600
PLOUGASNOU,29630
ROSCOFF,29680
PORTO-VECCHIO,20137
AJACCIO 1ER,20000
PROPRIANO,20110
AJACCIO 2EME,20090
SARTENE,20100
ZONZA,20144
BONIFACIO,20169
GROSSETO-PRUGNA 2EME,20128
LECCI 1ER,20137
ARBELLARA,20110
PIETROSELLA,20166
GROSSETO-PRUGNA 6EME,20166
VICO 1ER,20160
CASAGLIONE,20111
SARROLA-CARCOPINO,20167
ARGIUSTA-MORICCIO,20140
ALBITRECCIA 66EME,20166
SERRA-DI-FERRO,20140
CAURO,20117
PALNECA,20134
APPIETTO,20167
CALCATOGGIO,20111
PIANOTTOLI-CALDARELLO,20131
OTA,20150
BELVEDERE-CAMPOMORO,20110
SOTTA,20146
SARI-SOLENZARA,20145
LECCI,20000
OLMETO,20113
COTI-CHIAVARI,20138
CASALABRIVA,20140
TAVERA,20163
VICO 2EME,20118
QUENZA,20122
BASTELICACCIA,20129
PIANA,20115
COGGIA 18EME,20118
FRASSETO,20157
CUTTOLI-CORTICCHIATO,20167
SANTA-MARIA-SICHE,20190
COGGIA 60EME,20160
ALBITRECCIA 28EME,20128
VIGGIANELLO,20110
