236,0,LA FOSSE SALMON,8,VILLERS-COTTERETS
237,19,SAINT DENIS,0,LARGNY SUR AUTOMNE
238,3,ROGER SALENGRO,0,VILLERS-COTTERETS
239,18,DU CHAMP BOUILLANT,0,SOISSONS
240,3,DE LA RESISTANCE,0,SOISSONS
241,14,PORTE CROUY,0,SOISSONS
242,2,DE LA QUINCY,16,NANTEUIL LA FOSSE
243,8,PETITE RUE SAINT VINCENT,17,VAILLY-SUR-AISNE
244,2,DE BAPAUME,0,VILLERS-COTTERETS
245,10,DE LAON,12,SOISSONS
246,1,DES GRAVIERS,0,SOISSONS
247,15,DU CHAMP BOUILLANT,0,SOISSONS
248,20,NOTRE DAME,0,SOISSONS
249,17,ALEXANDRE DUMAS,0,VILLERS-COTTERETS
250,5,FERNAND BAZIN,0,COEUVRES ET VALSERY
251,5,DU DOCTEUR MOUFLIER,12,VILLERS-COTTERETS
252,2,EDOUARD BRANLY,15,SOISSONS
253,2,EDOUARD BRANLY,15,SOISSONS
254,4,DE LAON,12,SOISSONS
255,16,D OULCHY LE CHATEAU,0,BELLEU
256,12,THIERS,1,SOISSONS
257,4,JEAN MOULIN,0,SOISSONS
258,3,PORTE CROUY,0,SOISSONS
259,5,DU DOCTEUR MOUFLIER,12,VILLERS-COTTERETS
260,30,DU GENERAL DE GAULLE,1,SOISSONS
261,9,VICTOR HUGO,0,VILLERS-COTTERETS
262,41,DU GRAND MONTOIR,0,VILLERS-COTTERETS
263,7,DE PANLEU,0,SOISSONS
264,30,DU GENERAL DE GAULLE,1,SOISSONS
265,10,DE LAON,12,SOISSONS
266,5,FERNAND BAZIN,0,COEUVRES ET VALSERY
267,2,EDOUARD BRANLY,15,SOISSONS
268,2,EDOUARD BRANLY,15,SOISSONS
269,22,JEANNE D ARC,15,SOISSONS
270,12,DE LA MARE AUX CANES,1,CHATEAU THIERRY
271,3,DE L HOTEL DE VILLE,12,CHATEAU THIERRY
272,50,GRANDE RUE,6,CHATEAU THIERRY
273,1,RENOIR,18,CHATEAU THIERRY
274,2,PAUL CLAUDEL,0,FERE EN TARDENOIS
275,22,DE LA FRATERNITE,0,MOULINS
276,2,DENAIN,0,MOULINS
277,22,DE LA FRATERNITE,0,MOULINS
278,22,DE LA FRATERNITE,0,MOULINS
279,14,CHARLES PEGUY,0,MOULINS
280,4,PARC MONTFAULT,18,YZEURE
281,11,DU VERT GALANT,0,MOULINS
282,16,DU PRE DE MOLLES,10,YZEURE
283,84,DE LYON,3,YZEURE
284,3,JACQUES VINCENT,0,YZEURE
285,24,GASPARD ROUX,0,MOULINS
286,1,DU DRAPEAU,1,CUSSET
287,71,JEAN JAURES,0,VICHY
288,2,MONTIGNAC,0,VICHY
289,2,DU 11 NOVEMBRE,0,VICHY
290,10,DUCHON,0,VICHY
291,4,HUBERT COLOMBIER,0,VICHY
292,9003,DE L HORLOGE,12,SISTERON
293,7102,DE L ENGIEN,12,RIEZ
294,7003,LES MELEZES,18,ENCHASTRAYES
295,9500,DU CAMPING,19,CHATEAU-ARNOUX-SAINT-AUBAN
296,1,DES MONGES,0,DIGNE-LES-BAINS
297,7066,STATION DE SAINT JEAN,8,MONTCLAR
298,9002,DU DOCTEUR ROBERT,12,SISTERON
299,7192,LA CHAPELLE,8,ALLOS
300,0,DES AIRES,12,CASTELLANE
301,7078,DE MAZAGRAND,3,JAUSIERS
302,7037,LE VILLAGE,8,LE LAUZET UBAYE
303,6,GRANDE,0,SEYNE
304,7034,ADRECH DE CHAUVET,8,ALLOS
305,25,FRANCOIS CUZIN,1,DIGNE-LES-BAINS
306,20,DU VALLON DE FARINE,0,DIGNE-LES-BAINS
307,7002,STATION DE SAINT JEAN,8,MONTCLAR
308,7042,LE VILLAGE,8,SAINTE CROIX DU VERDON
309,7398,PONT DE LABRAU OUEST,8,ALLOS
310,24,LOTISSEMENT DU BERARD,7,FAUCON-DE-BARCELONNETTE
311,7052,LES CHENEVRIERS,18,ENCHASTRAYES
312,12,DES ALPAGES,5,BARCELONNETTE
313,25,PRINCIPALE,0,JAUSIERS
314,7300,DES BEAUMES,5,GREOUX-LES-BAINS
315,39,VICTOR HUGO,15,DIGNE-LES-BAINS
316,9482,LE VALLON DES SOURCES,18,DIGNE-LES-BAINS
317,32,VICTOR HUGO,15,DIGNE-LES-BAINS
318,5081,LE SUPERSAUZE,8,ENCHASTRAYES
319,26,LE PONT,8,SAINT-MARTIN-DE-BROMES
320,7178,PONT DE LABRAU,8,ALLOS
321,2,DE CARUPE,10,PEIPIN
322,7153,LES HAUTES PLAINES,8,GREOUX-LES-BAINS
323,5112,LES MARGUERITES,18,ENCHASTRAYES
324,4,DE LA MAIRIE,12,DIGNE-LES-BAINS
325,5230,LE SUPERSAUZE,8,ENCHASTRAYES
326,7153,LES HAUTES PLAINES,8,GREOUX-LES-BAINS
327,6,ANCIENNE RTE D FORCALQUIER,8,VOLX
328,7096,BEAUDINE,8,FORCALQUIER
329,3,DE LA REPUBLIQUE,12,SISTERON
330,53,DELEUZE,0,SISTERON
331,7023,GRANDE MONTAGNE,8,SELONNET
332,7052,LES AUCHES,8,ALLOS
333,181,DES AVETTES,2,MANOSQUE
334,5,MARCEL ANDRE,1,FORCALQUIER
335,7218,LACHAUD ET CHAUVET,8,ALLOS
336,320,DU DCT BERNARD FOUSSIER,1,MANOSQUE
337,6,ANDRE HONNORAT,0,BARCELONNETTE
338,155,DOC CASIMIR CAIRE,0,FORCALQUIER
339,5637,DES THERMES,1,GREOUX-LES-BAINS
340,7054,LA CHAPELLE,8,ALLOS
341,3,TANNERIE,0,RIEZ
342,118,POTERIE,0,SISTERON
343,1,DES CORDELIERS,20,FORCALQUIER
344,9002,LES LAVANDES,8,MANOSQUE
345,0,LES MARMOTTES BLEUES,18,UVERNET-FOURS
346,5038,LE VILLAGE,8,NOYERS-SUR-JABRON
347,9,FONT CHAUDE,0,SISTERON
348,7089,SAINT PIERRE,8,SEYNE
349,5154,DE LA FERRAILLE,0,PIERRERUE
350,7215,LA SESTRIERE,8,ALLOS
351,3,DES EAUX CHAUDES,19,DIGNE-LES-BAINS
352,1,JULES BOURDIN,0,ORAISON
353,5637,DES THERMES,1,GREOUX-LES-BAINS
354,14,DE PROVENCE,2,MANOSQUE
355,5028,DE STE ANNETTE,5,GREOUX-LES-BAINS
356,36,HENRI JAUBERT,1,DIGNE-LES-BAINS
357,117,DES THERMES,1,GREOUX-LES-BAINS
358,9001,JEANNE D ARC,18,MANOSQUE
359,20,MARIUS DEBOUT,0,FORCALQUIER
360,7224,LES HAUTES PLAINES,8,GREOUX-LES-BAINS
361,0,PRA CHAUVET,18,UVERNET-FOURS
362,7009,ADRECH DE CHAUVET,8,ALLOS
363,0,LES MELEZES,18,UVERNET-FOURS
364,7215,STATION DE SAINT JEAN,8,MONTCLAR
365,7113,LES SAGNES,8,SEYNE
366,7024,LES HAUTES PLAINES,8,GREOUX-LES-BAINS
