191,6,156
192,4,72
193,3,82
194,2,41
195,4,158
196,2,40
197,4,80
198,3,65
199,1,30
200,2,40
201,2,53
202,1,31
203,3,67
204,1,27
205,2,53
206,4,82
207,5,90
208,1,27
209,4,92
210,3,62
211,5,90
212,1,27
213,3,64
214,5,155
215,2,48
216,4,90
217,3,53
218,3,67
219,1,29
220,4,119
221,3,76
222,1,27
223,4,122
224,1,32
225,4,127
226,2,52
227,5,143
228,2,43
229,4,127
230,1,29
231,4,81
232,4,67
233,5,122
234,4,145
235,3,49
236,2,58
237,3,50
238,5,77
239,2,48
240,3,36
241,2,75
242,6,109
243,3,64
244,4,81
245,1,44
246,3,83
247,4,59
248,1,26
249,3,86
250,6,110
251,1,21
252,2,57
253,2,44
254,3,72
255,3,76
256,2,72
257,3,64
258,2,32
259,1,23
260,1,33
261,3,54
262,3,42
263,1,30
264,1,25
265,3,75
266,6,110
267,3,67
268,3,73
269,1,32
270,3,60
271,3,54
272,3,58
273,4,75
274,3,64
275,2,33
276,3,77
277,1,38
278,1,22
279,4,84
280,5,112
281,4,60
282,5,85
283,3,59
284,2,40
285,4,79
286,5,105
287,3,80
288,3,79
289,4,67
290,2,47
291,2,45
292,4,119
293,4,133
294,1,31
295,3,66
296,4,120
297,1,24
298,1,33
299,1,20
300,4,120
301,1,20
302,2,27
303,3,50
304,1,26
305,2,51
306,3,71
307,2,49
308,2,32
309,2,35
310,3,52
311,1,25
312,1,23
313,2,63
314,2,33
315,1,23
316,2,30
317,1,29
318,1,44
319,2,32
320,1,21
321,5,147
322,1,18
323,1,30
324,2,51
325,2,23
326,1,18
327,3,80
328,4,74
329,3,80
330,2,85
331,2,29
332,2,37
333,5,79
334,2,41
335,1,19
336,4,98
337,3,60
338,2,42
339,1,27
340,1,20
341,2,60
342,3,35
343,1,29
344,5,84
345,2,29
346,1,38
347,2,44
348,4,87
349,2,66
350,1,27
351,3,68
352,2,30
353,1,27
354,3,68
355,4,100
356,4,81
357,1,24
358,1,31
359,2,51
360,1,24
361,2,36
362,2,81
363,3,59
364,1,28
365,1,27
366,1,27
367,1,27
368,4,95
369,1,30
370,2,60
371,1,36
372,2,61
373,1,26
374,1,18
375,1,25
376,3,70
377,3,54
378,4,70
379,4,64
380,1,28
381,3,54
382,2,46
383,1,23
384,1,33
385,1,19
386,2,61
387,4,75
388,3,74
389,4,82
390,4,93
391,2,24
392,1,26
393,4,54
394,2,45
395,2,50
396,2,45
397,1,15
398,2,50
399,3,63
400,4,87
401,1,27
402,3,56
403,2,52
404,1,17
405,2,47
406,2,26
407,1,18
408,1,39
409,2,30
410,2,40
411,5,110
412,1,40
413,1,38
414,2,53
415,1,31
416,2,25
417,3,38
418,1,23
419,1,15
420,1,18
421,4,66
422,3,63
423,2,20
424,1,20
425,3,63
426,1,25
427,1,28
428,1,29
429,2,32
430,4,66
431,3,62
432,3,75
433,1,26
434,2,46
435,1,17
436,4,121
437,2,38
438,1,25
439,4,100
440,1,28
441,1,25
442,8,248
443,2,40
444,2,54
445,1,20
446,4,110
447,5,114
448,1,17
449,3,58
450,2,49
451,1,39
452,5,116
453,4,68
454,2,46
455,1,22
456,1,22
457,1,17
458,4,65
459,4,63
460,2,43
461,3,70
462,3,52
463,1,35
464,4,47
465,1,26
466,1,29
467,2,38
468,6,82
469,2,35
470,2,29
471,2,32
